pdu_id,observed_latency,required_max_latency,normalized_avg_latency
1,0.69,0.69,1.0
2,0.7799999999999999,0.78,0.9999999999999999
3,0.4899999999999999,0.49,0.9999999999999998
4,0.77,0.77,1.0
5,0.7,0.7,1.0
6,0.62,0.62,1.0
7,0.65,0.65,1.0
8,0.65,0.65,1.0
9,0.72,0.72,1.0
10,0.65,0.65,1.0
11,0.55,0.55,1.0
12,0.57,0.57,1.0
13,0.61,0.61,1.0
14,0.71,0.71,1.0
15,0.74,0.74,1.0
16,0.8898315174988624,0.85,1.046860608822191
17,0.7278761438539344,0.65,1.119809452082976
18,0.9144498501282621,0.61,1.499098114964364
19,inf,0.7,inf
20,inf,0.36,inf
21,inf,0.82,inf
22,inf,0.83,inf
23,inf,0.82,inf
24,inf,0.75,inf
25,inf,0.82,inf
26,inf,0.61,inf
27,inf,0.66,inf
28,inf,0.94,inf
29,inf,0.58,inf
30,inf,0.78,inf
31,inf,0.85,inf
32,inf,0.66,inf
33,inf,0.55,inf
34,inf,0.53,inf
35,inf,0.38,inf
36,inf,0.54,inf
37,inf,0.87,inf
38,inf,0.41,inf
39,inf,0.61,inf
40,inf,0.91,inf
41,inf,0.54,inf
42,inf,0.85,inf
43,inf,0.64,inf
44,inf,0.49,inf
45,inf,0.7,inf
46,inf,0.8,inf
47,inf,0.9,inf
48,inf,0.86,inf
49,inf,0.9,inf
50,inf,0.59,inf
51,inf,0.55,inf
52,inf,0.85,inf
53,inf,0.84,inf
54,inf,0.92,inf
55,inf,0.71,inf
56,inf,0.72,inf
57,inf,0.75,inf
58,inf,0.58,inf
59,inf,0.75,inf
60,inf,0.84,inf
61,inf,0.53,inf
62,inf,0.77,inf
63,inf,0.79,inf
64,inf,0.46,inf
65,inf,0.86,inf
66,inf,0.56,inf
67,inf,0.69,inf
68,inf,0.68,inf
69,inf,0.8,inf
70,inf,0.54,inf
71,inf,0.48,inf
72,inf,0.9,inf
73,inf,0.44,inf
74,inf,0.63,inf
75,inf,0.75,inf
76,inf,0.74,inf
77,inf,0.71,inf
78,inf,0.74,inf
79,inf,0.69,inf
80,inf,0.65,inf
81,inf,0.73,inf
82,inf,0.75,inf
83,inf,0.73,inf
84,inf,0.87,inf
85,inf,0.73,inf
86,inf,0.5,inf
87,inf,0.57,inf
88,inf,0.38,inf
89,inf,0.81,inf
90,inf,0.74,inf
91,inf,0.88,inf
92,inf,0.59,inf
93,inf,0.44,inf
94,inf,0.45,inf
95,inf,0.72,inf
96,inf,0.73,inf
97,inf,0.57,inf
98,inf,0.55,inf
99,inf,0.7,inf
100,inf,0.62,inf
101,inf,0.86,inf
102,inf,0.77,inf
103,inf,0.54,inf
104,inf,0.49,inf
105,inf,0.81,inf
106,inf,0.59,inf
107,inf,0.69,inf
108,inf,0.68,inf
109,inf,0.76,inf
110,inf,0.76,inf
111,inf,0.66,inf
112,inf,0.71,inf
