time,pdu_id,upf_id,cpu_allocated,observed_latency,required_cpu,required_max_latency,status,event
0.47,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,START
3.48,2,1.0,56.959836538461545,0.78,56.959836538461545,0.78,SATISFIED,START
4.8,3,2.0,79.51041836734696,0.48999999999999994,79.51041836734696,0.49,SATISFIED,START
5.71,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,START
5.88,5,4.0,68.08408571428572,0.7,68.08408571428572,0.7,SATISFIED,START
6.05,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,START
6.11,7,3.0,57.4086576923077,0.65,57.4086576923077,0.65,SATISFIED,START
8.12,8,1.0,38.89821538461538,0.65,38.89821538461538,0.65,SATISFIED,START
9.04,9,4.0,50.995159722222226,0.72,50.995159722222226,0.72,SATISFIED,START
10.27,10,2.0,40.62705,0.65,40.62705,0.65,SATISFIED,START
10.29,11,0.0,50.85535909090908,0.55,50.85535909090908,0.55,SATISFIED,START
13.79,12,1.0,49.014307017543864,0.57,49.014307017543864,0.57,SATISFIED,START
15.58,13,3.0,67.59058606557377,0.61,67.59058606557377,0.61,SATISFIED,START
15.82,14,4.0,61.48045422535211,0.71,61.48045422535211,0.71,SATISFIED,START
16.02,15,2.0,53.49218918918919,0.74,53.49218918918919,0.74,SATISFIED,START
16.12,11,0.0,50.85535909090908,0.55,,0.55,SATISFIED,TERMINATE
16.12,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
16.12,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
16.2,5,4.0,68.08408571428572,0.7,,0.7,SATISFIED,TERMINATE
16.2,9,4.0,50.995159722222226,0.72,50.995159722222226,0.72,SATISFIED,REBALANCE
16.2,14,4.0,61.48045422535211,0.71,61.48045422535211,0.71,SATISFIED,REBALANCE
16.22,16,1.0,55.127641059379215,0.8898315174988624,57.71095588235295,0.85,UNSATISFIED,START
16.57,16,1.0,55.127641059379215,0.8898315174988624,,0.85,UNSATISFIED,TERMINATE
16.57,2,1.0,56.959836538461545,0.78,56.959836538461545,0.78,SATISFIED,REBALANCE
16.57,8,1.0,38.89821538461538,0.65,38.89821538461538,0.65,SATISFIED,REBALANCE
16.57,12,1.0,49.014307017543864,0.57,49.014307017543864,0.57,SATISFIED,REBALANCE
16.59,17,3.0,28.759782216144515,1.195133006977541,52.87963846153846,0.65,UNSATISFIED,START
17.33,18,2.0,26.37034244346387,1.218899700256524,52.69311885245902,0.61,UNSATISFIED,START
